# time (s),altitude (m),velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),Mach,air density (kg/m^3)
0.000000000000000000e+00,1.401000000000000000e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.285839690133640033e+03,2.201765629821050538e+02,0.000000000000000000e+00,1.070141825546099268e+00
2.500000000000000000e-01,1.401587078865581134e+03,4.700079747813046716e+00,1.880031899125218686e+01,6.285839690133640033e+03,2.201765629821050538e+02,0.000000000000000000e+00,1.070141825546099268e+00
5.000000000000000000e-01,1.403350859472535149e+03,9.416904378930846420e+00,1.886729852447119882e+01,6.285839690133640033e+03,2.195204422707255958e+02,1.403422716365285323e-02,1.070079639020180773e+00
7.500000000000000000e-01,1.406296319320509610e+03,1.415326829175379686e+01,1.894545565129180531e+01,6.285938902748597684e+03,2.188643215593461093e+02,2.811903055288570569e-02,1.069892826596797075e+00
1.000000000000000000e+00,1.410428259305862184e+03,1.890862538515033009e+01,1.902142837358613647e+01,6.286236935836608609e+03,2.182082008479666229e+02,4.226333841217968373e-02,1.069580911169621062e+00
1.250000000000000000e+00,1.415751389074595636e+03,2.368277721191547869e+01,1.909660730706059084e+01,6.286734526014744915e+03,2.175520801365871648e+02,5.646611249720731585e-02,1.069143468283108023e+00
1.500000000000000000e+00,1.422270410788597246e+03,2.847586630627998971e+01,1.917235637745804055e+01,6.287432309288954457e+03,2.168959594252077068e+02,7.072736069662320657e-02,1.068580117510079752e+00
1.750000000000000000e+00,1.429990105845648486e+03,3.328838791348052695e+01,1.925008642880215248e+01,6.288330834629539822e+03,2.162398387138282203e+02,8.504811743893166132e-02,1.067890513989418810e+00
2.000000000000000000e+00,1.438915321321998363e+03,3.811984564760489747e+01,1.932583093649747852e+01,6.289430577305262887e+03,2.155837180024487338e+02,9.943047936060579739e-02,1.067074339660031290e+00
2.250000000000000000e+00,1.449050669886725473e+03,4.296903005331567016e+01,1.939673762284308012e+01,6.290731952707970777e+03,2.149275972910692758e+02,1.138735902402275291e-01,1.066131305112762995e+00
2.500000000000000000e+00,1.460400460899641075e+03,4.783523786983936077e+01,1.946483126609475178e+01,6.292235313249922001e+03,2.142714765796898178e+02,1.283744714714257218e-01,1.065061181678048419e+00
2.750000000000000000e+00,1.472968886458136240e+03,5.271800867945548674e+01,1.953108323846450389e+01,6.293940897089987629e+03,2.136153558683103313e+02,1.429316634687080312e-01,1.063863808970480829e+00
3.000000000000000000e+00,1.486760036679787390e+03,5.761694381094424244e+01,1.959574052595502991e+01,6.295848816053794508e+03,2.129592351569308448e+02,1.575444395115292717e-01,1.062539075487901163e+00
3.250000000000000000e+00,1.501777904385247211e+03,6.253166395682136169e+01,1.965888058350849121e+01,6.297959086524538179e+03,2.123031144455513868e+02,1.722122648519717469e-01,1.061086917249753458e+00
3.500000000000000000e+00,1.518026390093344617e+03,6.746181040643831750e+01,1.972058579846780191e+01,6.300271631589152094e+03,2.116469937341719287e+02,1.869346700795137539e-01,1.059507317532221826e+00
