# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
2.500000000000000139e-02,2.564773984253406525e+00,6.279742049786527502e-01,2.511896819914610646e+01,9.946921840590788634e+03,2.841987555123815241e+02,1.727921376093359163e+00,1.462986185225419788e+00,5.099187273494288665e-03,1.583773758767445861e+00,8.699870139964547707e+04,1.060705389049867220e+00,2.857250649155399174e+02
5.000000000000000278e-02,2.588326228782534599e+00,1.256256411925041672e+00,2.513128827778652763e+01,9.946924012740319085e+03,2.840977538114853473e+02,1.900000418715924511e+00,1.129044358586337893e+00,5.607002382517757740e-03,1.917791809693663474e+00,8.699853841656820441e+04,1.060703685975321386e+00,2.857249884007853780e+02
7.500000000000001110e-02,2.627589351497590542e+00,1.884844244539749747e+00,2.514351330435806275e+01,9.946928358004939582e+03,2.839967521105891706e+02,2.241177692447674730e+00,8.723275480224100820e-01,6.613836468980754946e-03,2.671102770409869986e+00,8.699821237796435889e+04,1.060700279071032481e+00,2.857248353360270698e+02
1.000000000000000056e-01,2.682570972479879856e+00,2.513735870675643636e+00,2.515566504495202693e+01,9.946934877420664634e+03,2.838957504096929938e+02,2.688700259773344925e+00,6.915538314996578784e-01,7.934502950931458104e-03,3.844306827320991271e+00,8.699772320609888993e+04,1.060695167528426852e+00,2.857246056822958167e+02
1.250000000000000000e-01,2.753278664313256741e+00,3.142929739360782460e+00,2.516775474657587353e+01,9.946943572006923205e+03,2.837947487087968170e+02,3.198466150075037095e+00,5.652670689344129196e-01,9.438855316512910834e-03,5.437996245565824616e+00,8.699707082448100846e+04,1.060688350553793846e+00,2.857242993999653322e+02
1.499999999999999944e-01,2.839719966053962708e+00,3.772424470433254129e+00,2.517978924163069365e+01,9.946954442766993452e+03,2.836937470079006403e+02,3.745218502157655394e+00,4.748009003991414123e-01,1.105235998486409597e-02,7.452755562662958688e+00,8.699625515783151786e+04,1.060679827367942307e+00,2.857239164487363610e+02
1.749999999999999889e-01,2.941902384161949158e+00,4.402218793263518393e+00,2.519177291141118502e+01,9.946967490688972248e+03,2.835927453070044635e+02,4.314991465367779888e+00,4.078377562403729950e-01,1.273380374657825942e-02,9.889162213444260274e+00,8.699527613201025815e+04,1.060669597205451398e+00,2.857234567875992184e+02
1.999999999999999833e-01,3.059833392500877380e+00,5.032311509109121062e+00,2.520370863140069773e+01,9.946982716745906146e+03,2.834917436061082867e+02,4.899841773138737366e+00,3.566989874885468370e-01,1.445974635657466117e-02,1.274778689897164874e+01,8.699413367400682182e+04,1.060657659314570678e+00,2.857229203748287887e+02
2.249999999999999778e-01,3.193520436994731426e+00,5.662701467895985274e+00,2.521559834833425029e+01,9.947000121896016935e+03,2.833907419052121099e+02,5.495041010642988333e+00,3.165629121765089482e-01,1.621623476756982665e-02,1.602919328379777042e+01,8.699282771192284417e+04,1.060644012957038695e+00,2.857223071679738950e+02
2.499999999999999722e-01,3.342970933765172958e+00,6.293387689226849879e+00,2.522744884928413711e+01,9.947019707083025423e+03,2.832897402043159332e+02,6.097640836779862461e+00,2.843199335945680861e-01,1.799456902461262289e-02,1.973393854226300093e+01,8.699135817494794901e+04,1.060628657407835407e+00,2.857216171238439983e+02
2.749999999999999667e-01,3.508192287757992744e+00,6.924369829267988941e+00,2.523928559679189121e+01,9.947041473236653474e+03,2.831887385034197564e+02,6.705723918947323448e+00,2.579012569698785895e-01,1.978909173423748849e-02,2.386257625269288951e+01,8.698972499332221923e+04,1.060611591954789823e+00,2.857208501984902682e+02
2.999999999999999889e-01,3.689191889949142933e+00,7.555647562911352644e+00,2.525110933988423767e+01,9.947065421274979599e+03,2.830877368025235796e+02,7.317996500010532479e+00,2.358882139540825484e-01,2.159598570821243124e-02,2.841565704559991090e+01,8.698792809815931832e+04,1.060592815896733709e+00,2.857200063471208864e+02
3.250000000000000111e-01,3.885977124795317650e+00,8.187220404895050763e+00,2.526291367240741081e+01,9.947091552103842332e+03,2.829867351016274029e+02,7.933556848548122709e+00,2.172806190530657267e-01,2.341259064807119095e-02,3.339372606072427629e+01,8.698596742149173224e+04,1.060572328543978537e+00,2.857190855241196914e+02
3.500000000000000333e-01,4.098555364646017551e+00,8.819087760184562086e+00,2.527469420345634887e+01,9.947119866616718355e+03,2.828857334007312261e+02,8.551758603045071183e+00,2.013554544867579565e-01,2.523699986666682812e-02,3.879732191761285520e+01,8.698384289627887483e+04,1.060550129218397641e+00,2.857180876830494185e+02
3.750000000000000555e-01,4.326933961361646652e+00,9.451248956808994350e+00,2.528644785557567687e+01,9.947150365694928041e+03,2.827847316998350493e+02,9.172127119167569731e+00,1.875784591532831669e-01,2.706781342460741480e-02,4.462697723670942196e+01,8.698155445639260870e+04,1.060526217253280556e+00,2.857170127766424343e+02
4.000000000000000777e-01,4.571120253764092922e+00,1.008370326769328074e+01,2.529817242459860083e+01,9.947183050206005646e+03,2.826837299989388725e+02,9.794306344600444802e+00,1.755469248265913162e-01,2.890398135512448063e-02,5.088321834247958719e+01,8.697910203673904471e+04,1.060500591994604003e+00,2.857158607568568982e+02
4.250000000000000999e-01,4.831121561117470264e+00,1.071644992554575992e+01,2.530986630186094288e+01,9.947217921004883465e+03,2.825827282980426958e+02,1.041802414682426026e+01,1.649520012334265429e-01,3.074470134453935466e-02,5.756656526339340729e+01,8.697648557317022642e+04,1.060473252800110400e+00,2.857146315748333905e+02
4.500000000000001221e-01,5.106945180334150791e+00,1.134948813326953498e+01,2.532152829515329628e+01,9.947254978932594895e+03,2.824817265971465190e+02,1.104306902891040743e+01,1.555530421336812352e-01,3.258935001936227177e-02,6.467753141281285423e+01,8.697370500258084212e+04,1.060444199040323499e+00,2.857133251809382841e+02
4.750000000000001443e-01,5.398598390631377697e+00,1.198281707136740515e+01,2.533315750846352898e+01,9.947294224817045688e+03,2.823807248962503422e+02,1.166927421503767448e+01,1.471599341016055218e-01,3.443743598183354737e-02,7.221662418203528944e+01,8.697076026285035186e+04,1.060413430097937981e+00,2.857119415247363463e+02
5.000000000000001110e-01,5.706088449805974960e+00,1.261643590330958808e+01,2.534475326048799459e+01,9.947335659472368206e+03,2.822797231953541655e+02,1.229650639358446540e+01,1.396205795986570630e-01,3.628856659020634340e-02,8.018434431202670964e+01,8.696765129289180913e+04,1.060380945368335492e+00,2.857104805550106335e+02
5.250000000000001332e-01,6.029422594234347343e+00,1.325034377948480113e+01,2.535631502796666936e+01,9.947379283699377993e+03,2.821787214944579887e+02,1.292465774408907464e+01,1.328118923735972512e-01,3.814242442990341958e-02,8.858118628984250620e+01,8.696437803261792578e+04,1.060346744259227370e+00,2.857089422197465183e+02
5.500000000000001554e-01,6.368608039803802967e+00,1.388453984013865039e+01,2.536784240517475197e+01,9.947425098284327760e+03,2.820777197935618119e+02,1.355364009056465058e+01,1.266332460313982222e-01,3.999875005965049246e-02,9.740763804382906699e+01,8.696094042303336028e+04,1.060310826191621869e+00,2.857073264661725602e+02
5.750000000000001776e-01,6.723651980981230736e+00,1.451902321759213166e+01,2.537933507512837394e+01,9.947473104000639069e+03,2.819767180926656351e+02,1.418338062500358099e+01,1.210015865621850290e-01,4.185732939133150060e-02,1.066641812830833231e+02,8.695733840610613697e+04,1.060273190598482573e+00,2.857056332406987735e+02
6.000000000000001998e-01,7.094561588019132614e+00,1.515379303792481380e+01,2.539079278816940288e+01,9.947523301607301619e+03,2.818757163917694584e+02,1.481381865184410351e+01,1.158477851710298240e-01,4.371798408274395892e-02,1.163512910225643964e+02,8.695357192488688452e+04,1.060233836925966289e+00,2.857038624889723337e+02
6.250000000000002220e-01,7.481344011612236500e+00,1.578884842226878149e+01,2.540221534639911027e+01,9.947575691849833674e+03,2.817747146908732816e+02,1.544490316828635734e+01,1.111138409367964375e-01,4.558056439700156753e-02,1.264694359503491228e+02,8.694964092343697848e+04,1.060192764632684082e+00,2.857020141558408568e+02
6.500000000000002442e-01,7.884006381034851074e+00,1.642418848780499374e+01,2.541360259177210779e+01,9.947630275459605400e+03,2.816737129899771048e+02,1.607659096982535019e+01,1.067507421712410309e-01,4.744494361187109877e-02,1.370190781808268525e+02,8.694554534687954583e+04,1.060149973190222861e+00,2.857000881853767282e+02
6.750000000000002665e-01,8.302555801346898079e+00,1.705981234853761208e+01,2.542495439721603034e+01,9.947687053154089881e+03,2.815727112890809281e+02,1.670884521242381382e+01,1.027167929879830993e-01,4.931101377668428709e-02,1.480006735918730953e+02,8.694128514138043101e+04,1.060105462082954420e+00,2.856980845208654500e+02
7.000000000000002887e-01,8.736999355256557465e+00,1.769571911590005087e+01,2.543627065990117586e+01,9.947746025636964987e+03,2.814717095881847513e+02,1.734163423312911689e+01,9.897630133592238977e-02,5.117868223192412885e-02,1.594146712151080294e+02,8.693686025414029427e+04,1.060059230807948172e+00,2.856960031048018323e+02
7.250000000000003109e-01,9.187344105914235115e+00,1.833190789922525354e+01,2.544755129580872932e+01,9.947807193598009690e+03,2.813707078872885745e+02,1.797493068094103208e+01,9.549854139613840609e-02,5.304786904438690137e-02,1.712615138562030381e+02,8.693227063340305176e+04,1.060011278875061080e+00,2.856938438788915846e+02
7.500000000000003331e-01,9.653597092255949974e+00,1.896837780611327418e+01,2.545879623562283811e+01,9.947870557712842128e+03,2.812697061863923977e+02,1.860871077022964570e+01,9.225692326479119354e-02,5.491850480398671741e-02,1.835416376683957367e+02,8.692751622847509861e+04,1.059961605807136387e+00,2.856916067840604114e+02
7.750000000000003553e-01,1.013576533179730177e+01,1.960512794273018145e+01,2.547000542198405171e+01,9.947936118643159716e+03,2.811687044854962210e+02,1.924295370467268995e+01,8.922830888511575076e-02,5.679052892377839390e-02,1.962554722530391871e+02,8.692259698970704630e+04,1.059910211139812874e+00,2.856892917604433819e+02
8.000000000000003775e-01,1.063385581877082586e+01,2.024215741402082003e+01,2.548117880604318231e+01,9.948003877036726408e+03,2.810677027846000442e+02,1.987764121012531504e+01,8.639249416744164412e-02,5.866388826144414842e-02,2.094034407372183466e+02,8.691751286849507596e+04,1.059857094421536639e+00,2.856868987473849870e+02
8.250000000000003997e-01,1.114787552319467068e+01,2.087946532389670651e+01,2.549231634646635314e+01,9.948073833527092575e+03,2.809667010837038674e+02,2.051275714048955123e+01,8.373173533393407642e-02,6.053853595620346112e-02,2.229859595989380807e+02,8.691226381730230059e+04,1.059802255213786237e+00,2.856844276834476091e+02
8.500000000000004219e-01,1.167783139739185572e+01,2.151705077536988142e+01,2.550341800727605701e+01,9.948145988733927879e+03,2.808656993828076907e+02,2.114828718015080611e+01,8.123039786589635047e-02,6.241443055070477336e-02,2.370034390670192863e+02,8.690684978963284811e+04,1.059745693090797358e+00,2.856818785063985615e+02
8.750000000000004441e-01,1.222373036760836840e+01,2.215491287065705350e+01,2.551448375665728463e+01,9.948220343262808456e+03,2.807646976819115139e+02,2.178421854440172467e+01,7.887465381028627154e-02,6.429153510696392071e-02,2.514562822955553827e+02,8.690127074004814494e+04,1.059687407639733570e+00,2.856792511532170806e+02
