# time (s),altitude (m),absolute velocity (m/s),acceleration (m/s^2),thrust (N),mass (kg),freestream velocity (m/s),angle of attack (rads),Mach,dynamic pressure (Pa),air pressure (Pa),air density (kg/m^3),air temperature (K)
2.500000000000000139e-02,2.545550798997282982e+00,4.919785951357213971e-01,1.967914380542885411e+01,8.095061692070739809e+03,2.738858623207221399e+02,1.718297876231048127e+00,1.501778888202061957e+00,5.070787033821680910e-03,1.565981198399560625e+00,8.699888919401548628e+04,1.060707351388033404e+00,2.857251530778189590e+02
5.000000000000000278e-02,2.564002336934208870e+00,9.841816280308628428e-01,1.968812131576327573e+01,8.095062786076562588e+03,2.738019626041228776e+02,1.819299618950787734e+00,1.229148669665466542e+00,5.368849035916088003e-03,1.756611723986528650e+00,8.699876150704731117e+04,1.060706017135852663e+00,2.857250931337443376e+02
7.500000000000001110e-02,2.594761735759675503e+00,1.476607373807680812e+00,1.969702983093140602e+01,8.095064974541234733e+03,2.737180628875236152e+02,2.037369704369174084e+00,9.994271170048261155e-01,6.012386619899272311e-03,2.204562805255073865e+00,8.699850608023584937e+04,1.060703348080117125e+00,2.857249732200132257e+02
1.000000000000000056e-01,2.637834549881517887e+00,1.969254479240711175e+00,1.970588421702433024e+01,8.095068257951800661e+03,2.736341631709243529e+02,2.340489398388697406e+00,8.211241744045162383e-01,6.906911182850674659e-03,2.910177865284937493e+00,8.699812285673581937e+04,1.060699343629103675e+00,2.857247933084198053e+02
1.250000000000000000e-01,2.693226295523345470e+00,2.462121796399929785e+00,1.971469268585957479e+01,8.095072636788022464e+03,2.735502634543250906e+02,2.700400218665508500e+00,6.868051975070100790e-01,7.969030893414131081e-03,3.873796005408697507e+00,8.699761178055172786e+04,1.060694003201113844e+00,2.857245533703953129e+02
1.499999999999999944e-01,2.760942466557025909e+00,2.955208305231865840e+00,1.972346035249916341e+01,8.095078111522903782e+03,2.734663637377258283e+02,3.097469595892106131e+00,5.854406193232469802e-01,9.140809465643211229e-03,5.095752332226721748e+00,8.699697279647692631e+04,1.060687326223831439e+00,2.857242533769795614e+02
1.749999999999999889e-01,2.840988528914749622e+00,3.448513073600493861e+00,1.973219073364090548e+01,8.095084682623209119e+03,2.733824640211265660e+02,3.519207545189667385e+00,5.077322240306948453e-01,1.038538876115512911e-02,6.576378129106186243e+00,8.699620585003265296e+04,1.060679312133690821e+00,2.857238932987907560e+02
1.999999999999999833e-01,2.933369931764900684e+00,3.942035231280287988e+00,1.974088630570467728e+01,8.095092350549242838e+03,2.732985643045273036e+02,3.957795349224872528e+00,4.469532043324269677e-01,1.167969579849884032e-02,8.316001201173330415e+00,8.699531088749498304e+04,1.060669960376161347e+00,2.857234731060362378e+02
2.249999999999999778e-01,3.038092096336185932e+00,4.435773952159205891e+00,1.974954883322972421e+01,8.095101115755457613e+03,2.732146645879280413e+02,4.408264857453802144e+00,3.984503984952325051e-01,1.300906976863894747e-02,1.031494580808102235e+01,8.699428785582202545e+04,1.060659270404985532e+00,2.857229927684782069e+02
2.499999999999999722e-01,3.155160426162183285e+00,4.929728442065592908e+00,1.975817959383141442e+01,8.095110978689829608e+03,2.731307648713287790e+02,4.867374863244884331e+00,3.590193909320674170e-01,1.436394616480828751e-02,1.257353284203731825e+01,8.699313670272857416e+04,1.060647241682958208e+00,2.857224522554679993e+02
